kabupaten_kota,tahun,hls__nilai,rls__nilai,amh__nilai,sd__Jumlah Sekolah SD (Negeri),sd__Jumlah Sekolah SD (Swasta),sd__Jumlah Sekolah SD (Negeri+Swasta),sd__Jumlah Guru SD (Negeri),sd__Jumlah Guru SD (Swasta),sd__Jumlah Guru SD (Negeri+Swasta),sd__Jumlah Murid SD (Negeri),sd__Jumlah Murid SD (Swasta),sd__Jumlah Murid SD (Negeri+Swasta),smp__Jumlah Sekolah SMP (Negeri),smp__Jumlah Sekolah SMP (Swasta),smp__Jumlah Sekolah SMP (Negeri+Swasta),smp__Jumlah Guru SMP (Negeri),smp__Jumlah Guru SMP (Swasta),smp__Jumlah Guru SMP (Negeri+Swasta),smp__Jumlah Murid SMP (Negeri),smp__Jumlah Murid SMP (Swasta),smp__Jumlah Murid SMP (Negeri+Swasta),sma__Jumlah Sekolah SMA (Negeri),sma__Jumlah Sekolah SMA (Swasta),sma__Jumlah Sekolah SMA (Negeri+Swasta),sma__Jumlah Guru SMA (Negeri),sma__Jumlah Guru SMA (Swasta),sma__Jumlah Guru SMA (Negeri+Swasta),sma__Jumlah Murid SMA (Negeri),sma__Jumlah Murid SMA (Swasta),sma__Jumlah Murid SMA (Negeri+Swasta),smk__Jumlah Sekolah SMK (Negeri),smk__Jumlah Sekolah SMK (Swasta),smk__Jumlah Sekolah SMK (Negeri+Swasta),smk__Jumlah Guru SMK (Negeri),smk__Jumlah Guru SMK (Swasta),smk__Jumlah Guru SMK (Negeri+Swasta),smk__Jumlah Murid SMK (Negeri),smk__Jumlah Murid SMK (Swasta),smk__Jumlah Murid SMK (Negeri+Swasta)
Kabupaten Aceh Singkil,2016,14.27,7.69,96.89,101,6,110,1135,48,1287,15655,1185,17271,29,7,36,455,75,530,5308,1264,6572,11,2,13,239,18,257,3380,264,3644,4,2,6,92,17,109,925,175,1100
Kabupaten Aceh Singkil,2017,14.28,7.84,96.89,104,4,108,1098,48,1146,15701,1133,16834,29,8,37,449,94,543,5278,1260,6538,11,2,13,245,21,266,3332,319,3651,5,2,7,119,23,142,955,202,1157
Kabupaten Aceh Singkil,2018,14.29,8.05,96.89,106,4,110,1113,47,1160,15834,1100,16934,30,8,38,448,95,543,4848,1192,6040,11,2,13,254,26,280,3375,351,3726,5,2,8,117,22,139,918,196,1114
Kabupaten Aceh Singkil,2019,14.3,8.52,96.89,106,4,110,1239,48,1287,16129,1142,17271,31,7,38,535,85,620,4683,1275,5958,11,3,14,251,28,279,3528,366,3894,5,3,8,115,21,136,882,189,1071
Kabupaten Aceh Singkil,2020,14.31,8.53,96.89,105,5,110,1274,57,1331,15778,1237,17015,31,8,39,560,84,644,4402,1379,5781,11,3,14,262,31,293,3522,404,3926,5,3,8,117,28,145,882,170,1052
Kabupaten Aceh Singkil,2021,14.32,8.68,97.51,105,5,110,1235,49,1284,15773,1321,17094,31,11,42,523,90,613,4359,1607,5966,11,3,14,257,29,286,3289,390,3679,6,3,9,121,27,148,890,147,1037
Kabupaten Aceh Singkil,2022,14.34,8.69,97.47,105,6,111,1320,56,1376,15506,1371,16877,31,15,46,521,115,636,4368,1787,6155,10,4,14,270,25,295,3051,376,3427,6,3,9,149,35,184,856,161,1017
Kabupaten Aceh Singkil,2023,14.35,8.7,97.71,105,6,112,1308,60,1369,15499,1402,16901,31,17,48,521,138,659,4447,2267,6714,10,4,14,283,28,311,3048,360,3408,6,3,9,172,32,204,787,132,919
Kabupaten Aceh Singkil,2024,14.36,8.72,96.6,105,7,112,1297,65,1362,15492,1433,16925,31,18,49,505,131,636,4621,2425,7046,10,5,15,283,27,310,3301,450,3751,6,3,9,161,28,189,802,98,900
Kabupaten Aceh Singkil,2025,14.36,8.72,96.6,105,8,113,1221,77,1298,15608,1474,17082,31,24,55,463,209,672,4854,2583,7437,10,5,15,277,44,321,3525,505,4030,6,3,9,157,27,184,855,90,945
