kabupaten_kota,tahun,rasio_murid_per_guru_sd,Label_SD,Prediksi_Label_SD,rasio_murid_per_guru_smp,Label_SMP,Prediksi_Label_SMP,rasio_murid_per_guru_sma,Label_SMA,Prediksi_Label_SMA,rasio_murid_per_guru_smk,Label_SMK,Prediksi_Label_SMK
Kabupaten Aceh Tamiang,2021,14.486796213253612,Perlu Peningkatan,Perlu Peningkatan,12.727810650887575,Perlu Peningkatan,Perlu Peningkatan,12.267114093959732,Perlu Peningkatan,Perlu Peningkatan,10.29737609329446,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2022,13.905084745762712,Perlu Peningkatan,Perlu Peningkatan,12.151984511132623,Perlu Peningkatan,Perlu Peningkatan,12.017287234042554,Perlu Peningkatan,Perlu Peningkatan,9.263610315186247,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2023,13.478136882129277,Perlu Peningkatan,Perlu Peningkatan,11.702471482889734,Perlu Peningkatan,Perlu Peningkatan,11.918678526048284,Perlu Peningkatan,Perlu Peningkatan,8.991780821917809,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2024,13.066262249183389,Perlu Peningkatan,Perlu Peningkatan,11.0591985428051,Perlu Peningkatan,Perlu Peningkatan,11.758104738154614,Perlu Peningkatan,Perlu Peningkatan,8.803191489361701,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tamiang,2025,13.118396226415094,Perlu Peningkatan,Perlu Peningkatan,11.428440366972477,Perlu Peningkatan,Perlu Peningkatan,11.556930693069306,Perlu Peningkatan,Perlu Peningkatan,8.706493506493507,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2016,9.202548930359582,Baik,Baik,7.501154734411085,Baik,Baik,8.95,Baik,Baik,10.774038461538462,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2017,9.370944992947814,Baik,Baik,7.473067915690867,Baik,Baik,8.572222222222223,Baik,Baik,11.798076923076923,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2018,9.409306742640076,Baik,Baik,6.995310668229777,Baik,Baik,7.989031078610603,Baik,Baik,11.652380952380952,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2019,9.202548930359582,Baik,Baik,6.454831932773109,Baik,Baik,7.738898756660746,Baik,Baik,11.50943396226415,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2020,8.71034180543383,Baik,Baik,5.887254901960785,Baik,Baik,7.451438848920863,Baik,Baik,9.492248062015504,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2021,9.144967682363804,Baik,Baik,6.223684210526316,Baik,Baik,8.242544731610337,Baik,Baik,11.591269841269842,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2022,8.534743202416918,Baik,Baik,6.050147492625369,Baik,Baik,8.284069097888676,Baik,Baik,8.490706319702602,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tengah,2023,8.230422304223042,Baik,Baik,6.107750472589792,Baik,Baik,8.702803738317757,Baik,Baik,7.691525423728813,Baik,Baik
Kabupaten Aceh Tengah,2024,7.9550956657555645,Baik,Baik,6.423113658070678,Baik,Baik,9.355899419729207,Baik,Baik,7.382059800664452,Baik,Baik
Kabupaten Aceh Tengah,2025,7.673105497771174,Baik,Baik,6.639850327408793,Baik,Baik,9.552380952380952,Baik,Baik,7.833333333333333,Baik,Baik
Kabupaten Aceh Tenggara,2016,14.993075591459895,Perlu Peningkatan,Perlu Peningkatan,12.655172413793103,Perlu Peningkatan,Perlu Peningkatan,14.013257575757576,Perlu Peningkatan,Perlu Peningkatan,10.86046511627907,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2017,15.395625,Perlu Peningkatan,Perlu Peningkatan,12.184115523465705,Perlu Peningkatan,Perlu Peningkatan,13.629562043795621,Perlu Peningkatan,Perlu Peningkatan,10.532520325203253,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2018,16.039240506329115,Perlu Peningkatan,Perlu Peningkatan,11.907142857142857,Perlu Peningkatan,Perlu Peningkatan,12.513321492007105,Perlu Peningkatan,Perlu Peningkatan,9.889705882352942,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2019,14.993075591459895,Perlu Peningkatan,Perlu Peningkatan,10.697190426638917,Perlu Peningkatan,Perlu Peningkatan,11.29818780889621,Perlu Peningkatan,Perlu Peningkatan,9.36241610738255,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2020,13.16125708397733,Perlu Peningkatan,Perlu Peningkatan,9.86787072243346,Perlu Peningkatan,Perlu Peningkatan,10.388802488335925,Perlu Peningkatan,Perlu Peningkatan,8.159375,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2021,13.55700325732899,Perlu Peningkatan,Perlu Peningkatan,10.371628371628372,Perlu Peningkatan,Perlu Peningkatan,11.079931972789115,Perlu Peningkatan,Perlu Peningkatan,9.679310344827586,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2022,12.583290355853533,Perlu Peningkatan,Perlu Peningkatan,9.78168362627197,Perlu Peningkatan,Perlu Peningkatan,10.531746031746032,Perlu Peningkatan,Perlu Peningkatan,8.148148148148149,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Tenggara,2023,11.119307832422587,Perlu Peningkatan,Perlu Peningkatan,8.98927392739274,Perlu Peningkatan,Perlu Peningkatan,9.903177004538579,Perlu Peningkatan,Perlu Peningkatan,7.4335443037974684,Baik,Baik
Kabupaten Aceh Tenggara,2024,9.962087240114146,Baik,Baik,9.06425702811245,Perlu Peningkatan,Perlu Peningkatan,9.696531791907514,Baik,Baik,6.954022988505747,Baik,Baik
Kabupaten Aceh Tenggara,2025,9.268154311649017,Baik,Baik,8.240596167494678,Baik,Baik,9.266483516483516,Baik,Baik,7.239130434782608,Baik,Baik
Kabupaten Aceh Timur,2016,11.767284111661883,Perlu Peningkatan,Perlu Peningkatan,9.990760483297796,Perlu Peningkatan,Perlu Peningkatan,10.28214731585518,Perlu Peningkatan,Perlu Peningkatan,11.03951367781155,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Timur,2017,12.44228132711818,Perlu Peningkatan,Perlu Peningkatan,10.387710314557426,Perlu Peningkatan,Perlu Peningkatan,10.251207729468598,Perlu Peningkatan,Perlu Peningkatan,10.238461538461538,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Timur,2018,12.507734806629834,Perlu Peningkatan,Perlu Peningkatan,10.143272727272727,Perlu Peningkatan,Perlu Peningkatan,10.144549763033176,Perlu Peningkatan,Perlu Peningkatan,9.416666666666666,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Timur,2019,11.767284111661883,Perlu Peningkatan,Perlu Peningkatan,9.79502292075966,Perlu Peningkatan,Perlu Peningkatan,10.342789598108746,Perlu Peningkatan,Perlu Peningkatan,8.761099365750528,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Timur,2020,11.079266782264057,Perlu Peningkatan,Perlu Peningkatan,9.58276923076923,Perlu Peningkatan,Perlu Peningkatan,9.296629213483145,Baik,Baik,7.852882703777336,Baik,Baik
Kabupaten Aceh Timur,2021,11.666666666666666,Perlu Peningkatan,Perlu Peningkatan,9.454826732673267,Perlu Peningkatan,Perlu Peningkatan,9.522727272727273,Baik,Baik,7.356701030927835,Baik,Baik
Kabupaten Aceh Timur,2022,11.273258769700051,Perlu Peningkatan,Perlu Peningkatan,8.914387633769323,Perlu Peningkatan,Perlu Peningkatan,9.417073170731708,Baik,Baik,6.495361781076067,Baik,Baik
Kabupaten Aceh Timur,2023,11.082056351952545,Perlu Peningkatan,Perlu Peningkatan,8.910105757931845,Perlu Peningkatan,Perlu Peningkatan,9.554086538461538,Baik,Baik,6.99812734082397,Baik,Baik
Kabupaten Aceh Timur,2024,10.903536203993264,Perlu Peningkatan,Perlu Peningkatan,8.777142857142858,Perlu Peningkatan,Perlu Peningkatan,9.949458483754512,Perlu Peningkatan,Perlu Peningkatan,7.59626168224299,Baik,Baik
Kabupaten Aceh Timur,2025,10.669682208304337,Perlu Peningkatan,Perlu Peningkatan,9.053061224489795,Perlu Peningkatan,Perlu Peningkatan,10.373152709359607,Perlu Peningkatan,Perlu Peningkatan,7.8658318425760285,Baik,Baik
Kabupaten Aceh Utara,2016,10.765752936988251,Perlu Peningkatan,Perlu Peningkatan,8.70359078590786,Perlu Peningkatan,Perlu Peningkatan,9.8497375328084,Perlu Peningkatan,Perlu Peningkatan,9.562271062271062,Perlu Peningkatan,Baik
Kabupaten Aceh Utara,2017,10.637784090909092,Baik,Perlu Peningkatan,8.528276329156789,Perlu Peningkatan,Perlu Peningkatan,9.68407643312102,Baik,Baik,8.63036809815951,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Utara,2018,10.947099598686611,Perlu Peningkatan,Perlu Peningkatan,8.315771467670201,Baik,Baik,9.903204708960105,Perlu Peningkatan,Perlu Peningkatan,8.51923076923077,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Aceh Utara,2019,10.765752936988251,Perlu Peningkatan,Perlu Peningkatan,8.668170774036792,Perlu Peningkatan,Perlu Peningkatan,10.10842586544742,Perlu Peningkatan,Perlu Peningkatan,8.415714285714285,Perlu Peningkatan,Baik
Kabupaten Aceh Utara,2020,10.327138186198589,Baik,Baik,8.510538641686182,Perlu Peningkatan,Perlu Peningkatan,9.627802690582959,Baik,Baik,8.345221112696148,Perlu Peningkatan,Baik
Kabupaten Aceh Utara,2021,10.70910396839648,Perlu Peningkatan,Perlu Peningkatan,8.509109311740891,Baik,Baik,9.587915818058384,Baik,Baik,7.663817663817664,Baik,Baik
Kabupaten Aceh Utara,2022,10.579404466501241,Baik,Baik,8.323640095791994,Baik,Baik,8.886211512717537,Baik,Baik,6.2463576158940395,Baik,Baik
Kabupaten Aceh Utara,2023,10.691681415929203,Perlu Peningkatan,Perlu Peningkatan,8.179114565731666,Baik,Baik,9.667134831460674,Baik,Baik,6.010416666666667,Baik,Baik
Kabupaten Aceh Utara,2024,10.803464121597738,Perlu Peningkatan,Perlu Peningkatan,8.493001024240355,Baik,Baik,9.834242837653479,Perlu Peningkatan,Perlu Peningkatan,6.366533864541832,Baik,Baik
Kabupaten Aceh Utara,2025,10.83108935128519,Perlu Peningkatan,Perlu Peningkatan,8.425894948143192,Baik,Baik,10.2,Perlu Peningkatan,Perlu Peningkatan,6.871052631578947,Baik,Baik
Kabupaten Bener Meriah,2016,12.155719557195573,Perlu Peningkatan,Perlu Peningkatan,5.836177474402731,Baik,Baik,6.969750889679715,Baik,Baik,6.363636363636363,Baik,Baik
Kabupaten Bener Meriah,2017,11.233859397417504,Perlu Peningkatan,Perlu Peningkatan,5.562715765247411,Baik,Baik,6.7264808362369335,Baik,Baik,6.047904191616767,Baik,Baik
Kabupaten Bener Meriah,2018,13.283783783783784,Perlu Peningkatan,Perlu Peningkatan,6.02051282051282,Baik,Baik,6.273056057866184,Baik,Baik,6.459770114942529,Baik,Baik
Kabupaten Bener Meriah,2019,12.155719557195573,Perlu Peningkatan,Perlu Peningkatan,6.01063829787234,Baik,Baik,6.50682261208577,Baik,Baik,6.802197802197802,Baik,Baik
Kabupaten Bener Meriah,2020,11.500346020761246,Perlu Peningkatan,Perlu Peningkatan,5.864,Baik,Baik,6.069169960474309,Baik,Baik,6.838383838383838,Baik,Baik
Kabupaten Bener Meriah,2021,12.04960460100647,Perlu Peningkatan,Perlu Peningkatan,5.896396396396397,Baik,Baik,6.84304932735426,Baik,Baik,8.377551020408163,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Bener Meriah,2022,11.920056100981768,Perlu Peningkatan,Perlu Peningkatan,5.893764434180139,Baik,Baik,7.547511312217194,Baik,Baik,6.598039215686274,Baik,Baik
Kabupaten Bener Meriah,2023,11.52937293729373,Perlu Peningkatan,Perlu Peningkatan,6.476355247981545,Baik,Baik,8.342857142857143,Baik,Baik,6.507462686567164,Baik,Baik
Kabupaten Bener Meriah,2024,11.182044887780549,Perlu Peningkatan,Perlu Peningkatan,6.876146788990826,Baik,Baik,9.285714285714286,Baik,Baik,6.7936507936507935,Baik,Baik
Kabupaten Bener Meriah,2025,10.766984505363528,Perlu Peningkatan,Perlu Peningkatan,7.156571428571429,Baik,Baik,9.362473347547974,Baik,Baik,6.758064516129032,Baik,Baik
Kabupaten Bireuen,2016,8.777603758809711,Baik,Baik,7.65417224453369,Baik,Baik,8.838132295719845,Baik,Baik,7.747706422018348,Baik,Perlu Peningkatan
Kabupaten Bireuen,2017,8.394945111054378,Baik,Baik,7.428761651131825,Baik,Baik,8.32857142857143,Baik,Baik,7.959731543624161,Perlu Peningkatan,Perlu Peningkatan
Kabupaten Bireuen,2018,8.920235546038544,Baik,Baik,7.274172185430464,Baik,Baik,7.897853441894893,Baik,Baik,7.925764192139738,Baik,Baik
Kabupaten Bireuen,2019,8.777603758809711,Baik,Baik,8.304922515952597,Baik,Baik,8.701540957015409,Baik,Baik,7.910256410256411,Baik,Baik
Kabupaten Bireuen,2020,8.602616726526424,Baik,Baik,8.471320586927524,Baik,Baik,8.34154090548054,Baik,Baik,7.545824847250509,Baik,Baik
