kabupaten_kota,tahun,rls__nilai,Label_RLS,Prediksi_Label,Prediksi_Benar
Kota Banda Aceh,2021,12.83,Baik,Baik,True
Kota Banda Aceh,2022,13.03,Baik,Baik,True
Kota Banda Aceh,2023,13.04,Baik,Baik,True
Kota Banda Aceh,2024,13.1,Baik,Baik,True
Kota Banda Aceh,2025,13.1,Baik,Baik,True
Kota Langsa,2016,10.71,Baik,Baik,True
Kota Langsa,2017,10.9,Baik,Baik,True
Kota Langsa,2018,11.06,Baik,Baik,True
Kota Langsa,2019,11.1,Baik,Baik,True
Kota Langsa,2020,11.11,Baik,Baik,True
Kota Langsa,2021,11.12,Baik,Baik,True
Kota Langsa,2022,11.14,Baik,Baik,True
Kota Langsa,2023,11.27,Baik,Baik,True
Kota Langsa,2024,11.28,Baik,Baik,True
Kota Langsa,2025,11.28,Baik,Baik,True
Kota Lhokseumawe,2016,10.53,Baik,Baik,True
Kota Lhokseumawe,2017,10.88,Baik,Baik,True
Kota Lhokseumawe,2018,10.89,Baik,Baik,True
Kota Lhokseumawe,2019,10.9,Baik,Baik,True
Kota Lhokseumawe,2020,10.91,Baik,Baik,True
Kota Lhokseumawe,2021,11.11,Baik,Baik,True
Kota Lhokseumawe,2022,11.12,Baik,Baik,True
Kota Lhokseumawe,2023,11.27,Baik,Baik,True
Kota Lhokseumawe,2024,11.31,Baik,Baik,True
Kota Lhokseumawe,2025,11.31,Baik,Baik,True
Kota Sabang,2016,10.51,Baik,Baik,True
Kota Sabang,2017,10.7,Baik,Baik,True
Kota Sabang,2018,10.97,Baik,Baik,True
Kota Sabang,2019,11.13,Baik,Baik,True
Kota Sabang,2020,11.14,Baik,Baik,True
Kota Sabang,2021,11.18,Baik,Baik,True
Kota Sabang,2022,11.19,Baik,Baik,True
Kota Sabang,2023,11.2,Baik,Baik,True
Kota Sabang,2024,11.22,Baik,Baik,True
Kota Sabang,2025,11.22,Baik,Baik,True
Kota Subulussalam,2016,6.88,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2017,7.12,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2018,7.39,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2019,7.58,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2020,7.84,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2021,8.03,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2022,8.22,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2023,8.32,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2024,8.43,Perlu Peningkatan,Perlu Peningkatan,True
Kota Subulussalam,2025,8.43,Perlu Peningkatan,Perlu Peningkatan,True
