kabupaten_kota,tahun,rasio_murid_per_guru_sd,rasio_murid_per_guru_smp,rasio_murid_per_guru_sma,rasio_murid_per_guru_smk,Jenjang_Terlemah,Prediksi_Jenjang_Terlemah
Kabupaten Gayo Lues,2020,11.060817547357926,7.531187122736418,10.54275092936803,4.714285714285714,SD,SD
Kabupaten Gayo Lues,2021,11.16781836130306,6.898520084566596,10.62406015037594,5.142857142857143,SD,SD
Kabupaten Gayo Lues,2022,10.56120527306968,6.827651515151516,9.703971119133573,4.333333333333333,SD,SD
Kabupaten Gayo Lues,2023,10.7680608365019,6.81374321880651,9.107266435986158,4.012820512820513,SD,SD
Kabupaten Gayo Lues,2024,10.979846449136277,7.873983739837398,9.06081081081081,4.0,SD,SD
Kabupaten Gayo Lues,2025,10.914634146341463,7.363288718929255,9.38,4.75,SD,SD
Kabupaten Nagan Raya,2016,10.007294429708223,9.102831594634873,11.085393258426967,8.523255813953488,SMA,SMA
Kabupaten Nagan Raya,2017,10.368089573128062,9.111287758346581,10.46325167037862,10.875,SMK,SMK
Kabupaten Nagan Raya,2018,10.652142857142858,9.349337748344372,9.662192393736017,10.604651162790697,SD,SMK
Kabupaten Nagan Raya,2019,10.007294429708223,9.150470219435737,9.46606334841629,10.358695652173912,SMK,SMK
Kabupaten Nagan Raya,2020,9.02937576499388,8.431034482758621,8.52967032967033,9.911111111111111,SMK,SMK
Kabupaten Nagan Raya,2021,9.471135940409683,8.537777777777778,9.15,8.95,SD,SMK
Kabupaten Nagan Raya,2022,9.351186853317103,8.079658605974396,9.385844748858448,7.51,SMA,SMA
Kabupaten Nagan Raya,2023,9.323424494649228,8.46927374301676,9.712087912087911,7.422680412371134,SMA,SMA
Kabupaten Nagan Raya,2024,9.291521486643438,9.332869080779945,9.778021978021979,7.44,SMA,SMA
Kabupaten Nagan Raya,2025,9.321387940841866,9.521917808219179,9.925274725274726,7.805825242718447,SMA,SMA
Kabupaten Pidie,2016,8.365439770554493,7.646302250803859,9.094754653130288,8.828254847645429,SMA,SMA
Kabupaten Pidie,2017,8.60377358490566,7.026395939086294,8.832365145228216,9.116402116402117,SMK,SMK
Kabupaten Pidie,2018,8.729689807976367,7.021860701576004,8.139723801787165,8.917525773195877,SMK,SMK
Kabupaten Pidie,2019,8.365439770554493,7.14334637964775,8.126760563380282,8.753148614609572,SMK,SMK
Kabupaten Pidie,2020,8.079652255639099,7.051342439943476,7.689430894308943,8.29951690821256,SMK,SMK
Kabupaten Pidie,2021,8.336334874665368,6.957115928369463,8.33007985803017,8.549504950495049,SMK,SMK
Kabupaten Pidie,2022,8.138668589281423,6.70889748549323,8.945602901178605,8.393564356435643,SMA,SMA
Kabupaten Pidie,2023,8.174059787849567,6.668472906403941,9.727019498607243,8.412587412587413,SMA,SMA
Kabupaten Pidie,2024,8.211417513304307,6.902129817444219,9.753176043557168,8.054704595185996,SMA,SMA
Kabupaten Pidie,2025,8.178115208483971,6.930682976554536,9.313513513513513,8.146997929606625,SMA,SMA
Kabupaten Pidie Jaya,2016,6.395139989434759,6.007142857142857,7.075247524752475,5.533333333333333,SMA,SMA
Kabupaten Pidie Jaya,2017,6.512513601741023,6.1940298507462686,6.980694980694981,5.111675126903553,SMA,SMA
Kabupaten Pidie Jaya,2018,6.525515743756786,6.148883374689826,6.701348747591522,4.990384615384615,SMA,SMA
Kabupaten Pidie Jaya,2019,6.395139989434759,6.359375,6.890873015873016,4.885844748858448,SMA,SMA
Kabupaten Pidie Jaya,2020,6.452293094359515,6.27732079905993,6.668582375478927,4.859649122807017,SMA,SMA
Kabupaten Pidie Jaya,2021,6.68613537117904,6.2146171693735495,7.277777777777778,5.343891402714932,SMA,SMA
Kabupaten Pidie Jaya,2022,6.643828167482328,5.8597701149425285,7.485232067510548,5.606334841628959,SMA,SMA
Kabupaten Pidie Jaya,2023,6.725586470267321,5.730504587155964,8.154867256637168,6.299559471365638,SMA,SMA
Kabupaten Pidie Jaya,2024,6.8084291187739465,5.776,8.48993288590604,6.6347826086956525,SMA,SMA
Kabupaten Pidie Jaya,2025,6.721896643580181,5.921387283236994,8.35022026431718,6.825726141078838,SMA,SMA
Kabupaten Simeulue,2016,6.698770491803279,8.585412667946256,9.420212765957446,8.261194029850746,SMA,SMP
Kabupaten Simeulue,2017,7.076601671309192,9.005952380952381,8.661764705882353,6.935897435897436,SMP,SMP
Kabupaten Simeulue,2018,7.051687006460876,8.596986817325801,8.23855421686747,6.933333333333334,SMP,SMP
Kabupaten Simeulue,2019,6.698770491803279,8.25925925925926,8.38443396226415,6.923611111111111,SMA,SMA
Kabupaten Simeulue,2020,6.026282853566959,6.690184049079755,7.405349794238683,6.197604790419161,SMA,SMA
Kabupaten Simeulue,2021,6.277957336780866,6.082706766917293,9.10561797752809,6.546052631578948,SMA,SMA
Kabupaten Simeulue,2022,6.125790139064476,5.2635983263598325,7.871951219512195,6.375,SMA,SMA
Kabupaten Simeulue,2023,5.827710843373494,5.11978465679677,7.702912621359223,4.5638297872340425,SMA,SMA
Kabupaten Simeulue,2024,5.5595854922279795,5.239895697522816,7.739837398373984,4.190476190476191,SMA,SMA
Kabupaten Simeulue,2025,5.418222976796831,5.405475880052151,7.5030549898167,3.6823529411764704,SMA,SMA
Kota Banda Aceh,2016,18.885182311869666,11.704081632653061,10.355455568053992,10.783333333333333,SD,SD
Kota Banda Aceh,2017,19.638245033112582,11.88036410923277,10.832568807339449,11.576502732240437,SD,SD
Kota Banda Aceh,2018,19.864238410596027,13.069986541049799,10.836216839677046,11.628342245989305,SD,SD
Kota Banda Aceh,2019,18.885182311869666,13.190237797246558,11.260257913247361,11.708661417322835,SD,SD
Kota Banda Aceh,2020,17.536337209302324,13.499398315282791,10.381984036488028,10.640586797066014,SD,SD
Kota Banda Aceh,2021,17.093950177935945,13.277506112469437,11.95910780669145,12.128266033254157,SD,SD
Kota Banda Aceh,2022,16.77247579529737,12.934466019417476,11.672832369942197,11.680387409200968,SD,SD
Kota Banda Aceh,2023,16.861149110807112,12.90952380952381,12.3561190738699,11.456709956709958,SD,SD
Kota Banda Aceh,2024,16.936443542934416,12.830527497194163,11.874233128834355,11.097510373443983,SD,SD
Kota Banda Aceh,2025,16.965721819380356,13.900684931506849,11.8970736629667,11.417355371900827,SD,SD
Kota Langsa,2016,13.874196510560147,11.294827586206896,12.35632183908046,9.547945205479452,SD,SD
